,ctx_dhs,ctx_footprint_no,ctx_sox2no,ctx_sox2score,hox,lhx,log2fc,maxcons,meancons,sc_dhs,sc_footprint_no,sc_sox2no,sc_sox2score
ENSMUSG00000022214,8630.521017949648,4.950962921676558,0.15286165229825857,1.5286165229825857,1.963350365101694,0.7827978121424569,-0.00947741517250252,71.21606685869402,6.749675083862719,6543.298709981067,2.960086050312632,0.0,0.0
ENSMUSG00000022216,8807.278987930518,4.706105611870258,0.1704147682855459,1.704147682855459,1.9936822037905142,0.8139893352427369,-0.353517006623088,74.05760482961713,6.9710291772480915,6651.843845538063,2.8933045799003168,0.0,0.0
ENSMUSG00000022217,8815.300525338876,4.655264169329204,0.1739196270479585,1.739196270479585,2.0019691518434355,0.8208884024355971,0.0676303641912576,74.52327596859763,7.018651155168533,6647.145477837659,2.878995021018709,0.0,0.0
ENSMUSG00000022218,8574.833781387953,3.551350828311363,0.3540900569635428,3.540900569635428,1.3247819320471381,0.8516922724205132,-1.75687083700096,73.69474875687384,6.930711341426394,6178.28714470158,2.678894621943604,0.0,0.0
ENSMUSG00000022219,7917.0315564503935,2.567960607951031,0.48968742479957644,4.896874247995765,1.2514207428741067,0.6158536037151051,0.171622944041444,70.89322226668085,6.611607518621006,5573.207238533633,1.9370927274098944,0.0,0.0
ENSMUSG00000022220,7736.349498346137,2.3467562280297054,0.5358451815636889,5.358451815636888,1.2545844951929497,0.5628039135795501,1.23913365967521,69.95400998474175,6.500200635984587,5414.640812676652,1.7702313689100424,0.0,0.0
ENSMUSG00000022221,7534.095535278937,2.132736818196454,0.5896170621547653,5.896170621547653,1.2690925998300453,0.5114773377735629,-0.333683317178304,67.9735549273389,6.216568734348993,5247.610625402285,1.6087898572961485,0.0,0.0
ENSMUSG00000022223,5711.1879323147505,1.0872657365697522,0.8740724605110171,8.74072460511017,0.9598484977084843,0.2607503090153354,-0.655581330250728,50.86013158746359,4.341567947033837,3957.7794764916953,0.8201584341092008,0.0,0.0
ENSMUSG00000022228,5785.227263648005,7.110225076392021,1.1009450710587003,21.237715414067367,0.0574779432742924,2.83468748754943,-0.0410450739332389,28.16001085640295,1.937803832480644,4563.415489623622,1.8998118931700614,0.18047662698168235,3.7900091666153295
ENSMUSG00000022229,765.6985746078689,0.0,0.05279789270270506,0.5279789270270506,0.0,0.0,-0.433049246848659,13.437345165822368,0.5848836317830322,650.2590829120579,0.0,0.0,0.0
ENSMUSG00000022231,1604.3110814463994,0.0,1.7139429044848582,59.8992993201683,0.0,3.8416145120560916,-1.15146548758453,9.748025936243739,0.5721739566974994,360.17516516036045,0.0,0.0,0.0
